H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,time
True,True,False,False,True,True,False,True,True,20,9,3.444
True,True,False,True,False,True,False,False,True,40,9,4.744
True,True,False,False,True,False,True,True,False,40,1,2.427
True,True,False,True,False,True,True,True,False,40,9,3.447
True,False,False,False,True,False,False,True,False,60,5,2.957
True,False,False,True,False,True,False,False,False,60,5,3.876
True,False,False,False,True,False,False,True,False,60,1,2.628
True,False,False,True,False,True,False,False,False,60,1,2.563
True,True,False,False,True,True,False,False,True,60,1,2.279
True,True,False,False,True,True,False,False,True,60,9,5.034
True,True,False,False,True,True,False,False,True,60,5,3.617
True,False,False,False,True,False,False,True,False,60,9,3.592
True,False,False,True,True,False,False,False,True,20,1,2.386
True,False,False,False,False,False,True,False,False,40,5,4.397
True,False,False,True,False,True,False,False,False,60,9,5.143
True,True,False,True,True,True,False,False,False,20,1,2.122
True,False,False,True,True,True,True,False,False,60,5,4.557
True,False,False,True,True,True,True,True,False,40,1,2.893
True,False,False,True,True,True,True,False,False,60,1,2.827
True,True,False,True,True,True,False,False,False,20,9,4.7330000000000005
True,True,False,True,True,True,False,False,False,20,5,3.5010000000000003
True,True,False,True,False,False,False,True,False,60,1,2.333
True,False,False,True,True,True,True,True,False,40,9,3.826
True,True,False,True,False,True,True,True,False,60,1,2.333
True,True,False,True,False,True,True,False,False,40,1,2.38
True,False,False,True,True,True,True,True,False,40,5,3.353
True,False,False,True,True,True,True,False,False,60,9,5.936
True,True,False,True,False,True,True,True,False,60,5,2.937
True,False,False,True,False,True,False,True,False,60,1,2.469
True,True,False,True,False,True,True,True,False,60,9,3.434
True,False,False,True,False,False,True,False,True,20,9,5.845
True,True,False,False,True,True,False,True,False,60,1,2.365
True,False,False,True,False,False,True,False,True,20,1,2.681
True,False,False,True,False,False,True,False,True,20,5,4.4430000000000005
True,True,False,False,True,True,False,True,False,60,9,3.323
True,True,False,False,True,False,True,True,False,40,5,2.945
True,False,False,False,True,False,False,False,True,20,9,5.077
True,True,False,True,False,False,False,True,False,60,5,2.652
True,True,False,True,True,True,False,True,True,40,9,3.21
True,False,False,False,True,False,False,False,True,20,5,3.836
True,True,False,False,True,True,False,True,False,60,5,2.782
True,True,False,True,False,False,False,True,False,60,9,3.23
True,False,False,False,True,False,False,False,True,20,1,2.338
True,False,False,True,False,True,False,True,False,60,9,3.644
True,True,False,True,True,True,False,False,True,60,5,3.638
